date,Score,isPartial,ID,Timestamp,Source
2019-06-23,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-06-30,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-07-07,0,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-07-14,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-07-21,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-07-28,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-08-04,0,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-08-11,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-08-18,0,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-08-25,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-09-01,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-09-08,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-09-15,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-09-22,9,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-09-29,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-10-06,4,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-10-13,3,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-10-20,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-10-27,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-11-03,0,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-11-10,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-11-17,0,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-11-24,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-12-01,5,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-12-08,3,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-12-15,0,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-12-22,0,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2019-12-29,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-01-05,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-01-12,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-01-19,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-01-26,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-02-02,0,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-02-09,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-02-16,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-02-23,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-03-01,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-03-08,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-03-15,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-03-22,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-03-29,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-04-05,0,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-04-12,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-04-19,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-04-26,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-05-03,3,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-05-10,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-05-17,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-05-24,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-05-31,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-06-07,3,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-06-14,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-06-21,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-06-28,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-07-05,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-07-12,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-07-19,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-07-26,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-08-02,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-08-09,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-08-16,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-08-23,4,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-08-30,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-09-06,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-09-13,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-09-20,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-09-27,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-10-04,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-10-11,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-10-18,8,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-10-25,24,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-11-01,4,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-11-08,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-11-15,4,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-11-22,4,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-11-29,3,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-12-06,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-12-13,6,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-12-20,1,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2020-12-27,3,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-01-03,2,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-01-10,3,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-01-17,3,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-01-24,4,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-01-31,6,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-02-07,4,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-02-14,5,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-02-21,4,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-02-28,8,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-03-07,9,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-03-14,13,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-03-21,36,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-03-28,28,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-04-04,19,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-04-11,23,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-04-18,18,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-04-25,18,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-05-02,14,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-05-09,11,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-05-16,15,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-05-23,13,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-05-30,4,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-06-06,12,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-06-13,6,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-06-20,6,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-06-27,4,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-07-04,10,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-07-11,7,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-07-18,8,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-07-25,3,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-08-01,10,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-08-08,10,False,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2021-08-15,100,True,AUDIO.audius,2021-08-21 13:27:52,Google Trends
2016-08-21,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-08-28,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-09-04,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-09-11,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-09-18,38,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-09-25,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-10-02,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-10-09,38,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-10-16,75,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-10-23,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-10-30,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-11-06,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-11-13,37,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-11-20,37,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-11-27,36,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-12-04,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-12-11,36,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-12-18,38,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2016-12-25,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-01-01,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-01-08,35,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-01-15,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-01-22,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-01-29,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-02-05,34,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-02-12,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-02-19,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-02-26,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-03-05,33,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-03-12,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-03-19,34,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-03-26,35,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-04-02,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-04-09,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-04-16,35,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-04-23,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-04-30,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-05-07,35,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-05-14,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-05-21,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-05-28,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-06-04,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-06-11,36,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-06-18,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-06-25,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-07-02,75,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-07-09,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-07-16,37,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-07-23,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-07-30,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-08-06,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-08-13,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-08-20,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-08-27,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-09-03,35,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-09-10,35,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-09-17,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-09-24,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-10-01,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-10-08,35,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-10-15,35,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-10-22,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-10-29,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-11-05,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-11-12,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-11-19,33,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-11-26,67,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-12-03,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-12-10,33,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-12-17,35,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-12-24,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2017-12-31,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-01-07,33,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-01-14,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-01-21,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-01-28,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-02-04,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-02-11,66,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-02-18,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-02-25,32,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-03-04,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-03-11,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-03-18,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-03-25,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-04-01,33,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-04-08,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-04-15,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-04-22,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-04-29,33,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-05-06,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-05-13,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-05-20,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-05-27,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-06-03,33,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-06-10,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-06-17,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-06-24,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-07-01,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-07-08,33,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-07-15,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-07-22,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-07-29,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-08-05,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-08-12,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-08-19,100,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-08-26,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-09-02,32,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-09-09,32,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-09-16,32,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-09-23,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-09-30,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-10-07,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-10-14,32,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-10-21,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-10-28,32,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-11-04,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-11-11,32,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-11-18,64,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-11-25,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-12-02,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-12-09,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-12-16,33,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-12-23,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2018-12-30,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-01-06,32,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-01-13,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-01-20,31,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-01-27,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-02-03,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-02-10,92,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-02-17,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-02-24,61,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-03-03,31,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-03-10,32,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-03-17,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-03-24,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-03-31,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-04-07,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-04-14,33,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-04-21,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-04-28,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-05-05,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-05-12,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-05-19,32,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-05-26,31,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-06-02,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-06-09,31,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-06-16,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-06-23,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-06-30,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-07-07,31,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-07-14,32,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-07-21,32,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-07-28,33,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-08-04,32,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-08-11,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-08-18,31,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-08-25,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-09-01,61,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-09-08,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-09-15,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-09-22,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-09-29,30,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-10-06,59,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-10-13,59,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-10-20,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-10-27,29,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-11-03,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-11-10,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-11-17,29,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-11-24,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-12-01,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-12-08,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-12-15,30,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-12-22,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2019-12-29,31,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-01-05,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-01-12,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-01-19,57,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-01-26,28,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-02-02,28,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-02-09,28,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-02-16,28,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-02-23,27,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-03-01,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-03-08,27,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-03-15,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-03-22,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-03-29,76,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-04-05,26,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-04-12,26,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-04-19,25,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-04-26,76,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-05-03,25,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-05-10,26,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-05-17,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-05-24,26,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-05-31,51,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-06-07,26,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-06-14,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-06-21,27,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-06-28,81,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-07-05,54,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-07-12,56,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-07-19,56,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-07-26,28,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-08-02,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-08-09,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-08-16,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-08-23,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-08-30,26,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-09-06,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-09-13,26,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-09-20,26,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-09-27,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-10-04,55,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-10-11,57,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-10-18,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-10-25,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-11-01,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-11-08,28,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-11-15,56,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-11-22,28,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-11-29,27,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-12-06,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-12-13,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
2020-12-20,0,False,BABL.Babylon Finance,2021-08-21 13:27:52,Google Trends
